"site","url","nonobs","short_url"
"pravda.com.ua","http://pravda.com.uahttp://life.pravda.com.ua/society/2018/06/4/231407/","Ненадійне джерело інформації",NA
"unn.com.ua","http://unn.com.ua/uk/news/1734157-gra-legend-dubl-eks-gravtsya-kiyivskogo-dinamo-dopomig-komandi-fifa-obigrati-rosiyan","Недостовірна новина","http://bit.ly/2PDGSXo"
"obozrevatel.com","https://www.obozrevatel.com/kiyany/crime/bil-titushnyu-atoshnik-raskryil-detali-strelbyi-pod-kievom.htm","Ненадійне джерело інформації","http://bit.ly/2PHOSXq"
"vesti.ru","http://www.vestifinance.ru/articles/102256","Ненадійне джерело інформації","http://bit.ly/2yFt5YZ"
"lenta.ru","http://lenta.ru/news/2018/06/04/trash/","Ненадійне джерело інформації","http://bit.ly/2yHttpU"
"enovosty.com","http://news.enovosty.com/news_politics/full/406-mnogo-versij-ne-byvaet-kto-zakazal-babchenko-zloj-odessit","Ненадійне джерело інформації","http://bit.ly/2PHOTus"
"vesti.ru","http://vesti.ru/doc.html?id=3024440&cid=7","Ненадійне джерело інформації","http://bit.ly/2yKIzLa"
"vesti.ru","http://vesti.ru/doc.html?id=3024440&cid=7","Ненадійне джерело інформації","http://bit.ly/2yKIzLa"
"kp.ua","https://kp.ua/politics/609633-osvobozhden-ukraynets-kotoroho-s-2014-hoda-uderzhyvaly-v-lnr","Ненадійне джерело інформації","http://bit.ly/2yHioF7"
"kp.ua","https://kp.ua/politics/609633-osvobozhden-ukraynets-kotoroho-s-2014-hoda-uderzhyvaly-v-lnr","Ненадійне джерело інформації","http://bit.ly/2yHioF7"
"politeka.net","https://politeka.net/news/politics/662200-razgrom-i-unichtozhenie-kreml-gotovit-novuju-operaciju-v-ukraine-raskryty-detali/","Ненадійне джерело інформації","http://bit.ly/2yHttWW"
"kp.ua","https://kp.ua/economics/609648-ukrayntsam-uzhe-dolzhny-pochty-25-mlrd-hrn","Недостовірна новина","http://bit.ly/2yGk5CL"
"enovosty.com","http://news.enovosty.com/news_society/full/406-v-ukraine-sorvali-krupnejshij-dzhekpot-v-lotereyu-pochti-18-mln-griven","Ненадійне джерело інформації","http://bit.ly/2yDswi8"
"hvylya.net","http://hvylya.net/news/digest/uchenyie-obnaruzhili-deshevyiy-sposob-borbyi-s-rakom.html","Недостовірна новина","http://bit.ly/2PHPlsE"
"obozrevatel.com","https://www.obozrevatel.com/society/tse-ganba-bogomolets-prokomentuvala-zayavu-zastupnika-suprun.htm","Ненадійне джерело інформації","http://bit.ly/2P3X1bn"
"rbc.ua","https://www.rbc.ua/rus/news/vidrodzhenni-schitayut-zayavlenie-linchevskogo-1528107587.html","Ненадійне джерело інформації","http://bit.ly/2yIUVDP"
"unn.com.ua","http://unn.com.ua/uk/news/1734250-eksperti-pidrakhuvali-yak-za-rik-zminilasya-vartist-zhitla-u-stolichnikh-novobudovakh","Ненадійне джерело інформації","http://bit.ly/2yFt7QB"
"zn.ua","http://zn.ua/TECHNOLOGIES/vladelcy-iphone-x-zayavili-o-novom-nedostatke-smartfona-285766_.html","Ненадійне джерело інформації","http://bit.ly/2yEQDNC"
"pravda.com.ua","http://pravda.com.uahttps://www.epravda.com.ua/news/2018/06/4/637431/","Ненадійне джерело інформації","http://bit.ly/2yEQCcw"
"kp.ru","http://kp.ru/daily/26837.5/3878576/","Недостовірна новина","http://bit.ly/2yGFziY"
"interfax.com.ua","http://interfax.com.ua/news/telecom/509698.html","Недостовірна новина","http://bit.ly/2yGGuzX"
"apostrophe.ua","https://apostrophe.ua/news/business/2018-06-04/dva-nardepa-ot-partii-vdrodjennya-beznakazanno-sotrudnichayut-s-rossiey--politolog/132071","Ненадійне джерело інформації","http://bit.ly/2yHtwC6"
"bagnet.org","http://www.bagnet.org/news/society/367034/vmesto-uchebnikov-shkolniki-poluchat-hrestomatiyu-napechatannuyu-po-korruptsionnoy-sheme","Ненадійне джерело інформації","http://bit.ly/2yKICGQ"
"112.ua","http://112.ua/glavnye-novosti/veto-pretknoveniya-parlament-zatyagivaet-sozdanie-antikorrupcionnogo-suda-448312.html","Ненадійне джерело інформації","http://bit.ly/2PCSdH9"
"fakty.ictv.ua","https://fakty.ictv.ua/ua/ukraine/polituka/20180604-u-monako-vidbuvsya-tretij-mizhnarodnyj-forum-z-energetychnoyi-bezpeky/","Недостовірна новина","http://bit.ly/2yL466n"
"comments.ua","http://comments.ua/world/623047-glava-evroparlamenta-vistupil.html","Недостовірна новина","http://bit.ly/2PCCqYQ"
"apostrophe.ua","https://apostrophe.ua/news/society/kiev/2018-06-04/ne-mojet-po-chelovecheski-v-seti-pokazali-foto-naglogo-geroya-parkovki-v-kieve/132098","Ненадійне джерело інформації","http://bit.ly/2yHtuKu"
"vesti-ukr.com","http://vesti-ukr.com/kiev/291192-v-kieve-s-juzhnoho-mosta-pryhnul-chelovek","Ненадійне джерело інформації","http://bit.ly/2yGOOjk"
"apostrophe.ua","https://apostrophe.ua/news/society/accidents/2018-06-04/odioznyiy-rossiyskiy-pisatel-sdelal-zayavlenie-o-peredele-granits-upomyanuv-ukrainu-v-seti-smeyutsya/132102","Ненадійне джерело інформації","http://bit.ly/2yIc4xh"
"apostrophe.ua","https://apostrophe.ua/news/society/accidents/2018-06-04/odioznyiy-rossiyskiy-pisatel-sdelal-zayavlenie-o-peredele-granits-upomyanuv-ukrainu-v-seti-smeyutsya/132102","Ненадійне джерело інформації","http://bit.ly/2yIc4xh"
"gazeta.ua","http://gazeta.ua/articles/kiev-life/_kiyivskij-gaudi-scho-vidomo-pro-najvidomishogo-ukrayinskogo-arhitektora/840551","Недостовірна новина","http://bit.ly/2yKZehY"
"24tv.ua","http://24tv.ua/keti_perri_pokepkuvala_v_merezhi_z_sidnits_kohanogo_bluma_n978437","Ненадійне джерело інформації","http://bit.ly/2yDsxmc"
"newsone.ua","http://newsone.ua/news/society/ukraina-vyrazila-protest-rosii-iz-za-prihovora-sushchenko.html","Ненадійне джерело інформації","http://bit.ly/2yGOO2O"
"newsone.ua","http://newsone.ua/news/society/ves-kiev-s-1-avhusta-mozhet-ostatsja-bez-horjachej-vody-nazvana-prichina.html","Ненадійне джерело інформації","http://bit.ly/2yKZfT4"
"bagnet.org","http://www.bagnet.org/news/kiev/366988/v-kieve-proizoshlo-sereznoe-dtp-est-postradavshiy","Ненадійне джерело інформації","http://bit.ly/2yFVpKT"
"interfax.com.ua","http://interfax.com.ua/news/economic/509728.html","Ненадійне джерело інформації","http://bit.ly/2yHirkh"
"from-ua.com","http://from-ua.com/news/446746-zhena-futbolista-ukrainskoi-sbornoi-vzbudorazhila-plyazhnimi-snimkami.html","Ненадійне джерело інформації","http://bit.ly/2yGFAU4"
"gazeta.ua","http://gazeta.ua/articles/avto/_ak-reklamuyut-ulyublenu-sered-ukrayinciv-model-avtomobiliv/840579","Недостовірна новина","http://bit.ly/2yGFADy"
"gazeta.ua","http://gazeta.ua/articles/np/_bilya-stolichnogo-metro-vinikla-pozhezha/840581","Ненадійне джерело інформації","http://bit.ly/2yKIAPe"
"podrobnosti.ua","http://podrobnosti.ua/2244365-v-tsentre-kieve-pylajut-mafy-foto.html","Ненадійне джерело інформації","http://bit.ly/2yI9C9X"
"tsn.ua","https://tsn.ua/ukrayina/nache-boyepripasi-vibuhali-ochevidec-rozpoviv-pro-pidpal-avto-eks-kerivnika-pravogo-sektoru-u-rivnomu-1166094.html","Ненадійне джерело інформації","http://bit.ly/2yIUY2t"
"znaj.ua","http://znaj.ua/events/jogo-filmy-znaly-usi-pomer-kultovyj-aktor","Недостовірна новина","http://bit.ly/2yHirAN"
"kp.ua","https://kp.ua/politics/609688-mynzdrav-preduprezhdaet-ot-raka-vse-umrut","Недостовірна новина","http://bit.ly/2yHtwlA"
"ukranews.com","http://ukranews.com/news/566849-v-odesse-na-plyazhe-pyanyy-rybak-yz-za-ssory-pyrnul-nozhom-svoego-druga","Ненадійне джерело інформації","http://bit.ly/2yJiAUr"
"from-ua.com","http://from-ua.com/news/446851-kakaya-eda-samaya-opasnaya-letom.html","Недостовірна новина","http://bit.ly/2yLZ3Tg"
"from-ua.com","http://from-ua.com/news/446851-kakaya-eda-samaya-opasnaya-letom.html","Недостовірна новина","http://bit.ly/2yLZ3Tg"
"kp.ru","http://kp.ru/daily/26834.5/3878711/","Недостовірна новина","http://bit.ly/2yHisol"
"obozrevatel.com","https://www.obozrevatel.com/kiyany/vizhu-vpervyie-v-zhizni-kievlyan-udivilo-anomalnoe-nashestvie.htm","Ненадійне джерело інформації","http://bit.ly/2PAWEC5"
"segodnya.ua","http://segodnya.ua/world/wnews/v-san-paulu-proshel-krupneyshiy-v-mire-lgbt-prayd--1143957.html","Недостовірна новина","http://bit.ly/2yIV22d"
"gazeta.ua","http://gazeta.ua/articles/culture/_ukrayinskij-film-pokazivatimut-u-litakah-turkish-airlines/840625","Ненадійне джерело інформації","http://bit.ly/2yL47ar"
"interfax.com.ua","http://interfax.com.ua/news/general/509742.html","Ненадійне джерело інформації","http://bit.ly/2yGkaX5"
"kp.ua","https://kp.ua/life/609702-samoe-dorohoe-avto-prodaly-za-70-mln","Ненадійне джерело інформації","http://bit.ly/2yDJgGa"
