"site","title","url","all_types","nonobs"
"pravda.com.ua","Клуб єдиноборств Енергодару заявляє, що це він імітував ""перерізання горла"" в Енергодарі | Українська правда _Життя","http://life.pravda.com.ua/society/2018/06/4/231407/","Ненадійне джерело інформації","Ненадійне джерело інформації"
"unn.com.ua","Гра Легенд: дубль екс-гравця київського ""Динамо"" допоміг команді ФІФА обіграти росіян - новини на УНН | 4 червня 2018, 00:40","http://unn.com.ua/uk/news/1734157-gra-legend-dubl-eks-gravtsya-kiyivskogo-dinamo-dopomig-komandi-fifa-obigrati-rosiyan","Недостовірна новина;Маніпуляції з емоціями","Недостовірна новина"
"kp.ua","Супрун посоветовала чистить детям зубы, когда они еще не прорезались - Новости на KP.UA","https://kp.ua/life/609623-suprun-posovetovala-chystyt-detiam-zuby-kohda-ony-esche-ne-prorezalys","Достовірна новина;Маніпулятивний заголовок","Достовірна новина"
"obozrevatel.com","Гройсман заговорил об отставке, Антикоррупционный суд, новости Украина, Обозреватель","https://www.obozrevatel.com/politics/est-uslovie-grojsman-zagovoril-ob-otstavke.htm","Достовірна новина;Маніпулятивний заголовок","Достовірна новина"
"obozrevatel.com","Бил титушню! АТОшник раскрыл детали стрельбы под Киевом - новости Киев - видео | Обозреватель 4 июня","https://www.obozrevatel.com/kiyany/crime/bil-titushnyu-atoshnik-raskryil-detali-strelbyi-pod-kievom.htm","Ненадійне джерело інформації","Ненадійне джерело інформації"
"vesti.ru","Спекулянты готовят новый удар по облигациям США?","http://www.vestifinance.ru/articles/102256","Ненадійне джерело інформації","Ненадійне джерело інформації"
"lenta.ru","Украина ""задавит"" Россию ""крутым оружием"": Оружие: Наука и техника: Lenta.ru","http://lenta.ru/news/2018/06/04/trash/","Ненадійне джерело інформації;Маніпулятивний заголовок","Ненадійне джерело інформації"
"enovosty.com","Много версий не бывает: Кто заказал Бабченко, - Злой одессит","http://news.enovosty.com/news_politics/full/406-mnogo-versij-ne-byvaet-kto-zakazal-babchenko-zloj-odessit","Ненадійне джерело інформації","Ненадійне джерело інформації"
"vesti.ru","Спецоперация в Дагестане: главарь цумадинской банды убит","http://vesti.ru/doc.html?id=3024440&cid=7","Ненадійне джерело інформації","Ненадійне джерело інформації"
"kp.ua","Освобожден украинец, которого с 2014 года удерживали в ""ЛНР"" - Новости на KP.UA","https://kp.ua/politics/609633-osvobozhden-ukraynets-kotoroho-s-2014-hoda-uderzhyvaly-v-lnr","Ненадійне джерело інформації","Ненадійне джерело інформації"
"politeka.net","Разгром и уничтожение: Кремль готовит новую операцию в Украине, раскрыты детали. Politeka","https://politeka.net/news/politics/662200-razgrom-i-unichtozhenie-kreml-gotovit-novuju-operaciju-v-ukraine-raskryty-detali/","Ненадійне джерело інформації;Маніпулятивний заголовок","Ненадійне джерело інформації"
"kp.ua","Украинцам уже должны почти 2,5 млрд грн - Новости на KP.UA","https://kp.ua/economics/609648-ukrayntsam-uzhe-dolzhny-pochty-25-mlrd-hrn","Недостовірна новина","Недостовірна новина"
"enovosty.com","В Украине сорвали крупнейший джекпот в лотерею - почти 18 млн гривен","http://news.enovosty.com/news_society/full/406-v-ukraine-sorvali-krupnejshij-dzhekpot-v-lotereyu-pochti-18-mln-griven","Ненадійне джерело інформації","Ненадійне джерело інформації"
"hvylya.net","Ученые обнаружили дешевый способ борьбы с раком","http://hvylya.net/news/digest/uchenyie-obnaruzhili-deshevyiy-sposob-borbyi-s-rakom.html","Недостовірна новина;Маніпулятивний заголовок","Недостовірна новина"
"obozrevatel.com","Войска РФ отработали захват стран Балтии, новости, Обозреватель","https://www.obozrevatel.com/abroad/vojska-rf-otrabotali-zahvat-stran-baltii.htm","Достовірна новина;Маніпулятивний заголовок","Достовірна новина"
"obozrevatel.com","Це ганьба! Богомолець прокоментувала заяву заступника Супрун - останні новини Україна | Обозреватель 4 червня","https://www.obozrevatel.com/society/tse-ganba-bogomolets-prokomentuvala-zayavu-zastupnika-suprun.htm","Ненадійне джерело інформації;Маніпулятивний заголовок;Маніпуляції з емоціями","Ненадійне джерело інформації"
"rbc.ua","В ""Відродженні"" считают, что заявление Линчевского об онкобольных содержит признаки нацизма | РБК Украина","https://www.rbc.ua/rus/news/vidrodzhenni-schitayut-zayavlenie-linchevskogo-1528107587.html","Ненадійне джерело інформації;Маніпулятивний заголовок","Ненадійне джерело інформації"
"apostrophe.ua","Новости Киева - Выпустили два десятка пуль: вскрылись новые детали покушения на криминального авторитета в Гореничах под Киевом - Апостроф","https://apostrophe.ua/news/society/kiev/2018-06-04/vyipustili-dva-desyatka-pul-vskryilis-novyie-detali-pokusheniya-na-kriminalnogo-avtoriteta-pod-kievom/132057","Достовірна новина;Маніпулятивний заголовок","Достовірна новина"
"hvylya.net","Медицинская реформа: жителей сел будут лечить по интернету за 14 млрд долларов","http://hvylya.net/news/digest/meditsinskaya-reforma-zhiteley-sel-budut-lechit-po-internetu-za-14-mlrd-dollarov.html","Достовірна новина;Маніпулятивний заголовок","Достовірна новина"
"unn.com.ua","Експерти підрахували, як за рік змінилася вартість житла у столичних новобудовах - новини на УНН | 4 червня 2018, 14:01","http://unn.com.ua/uk/news/1734250-eksperti-pidrakhuvali-yak-za-rik-zminilasya-vartist-zhitla-u-stolichnikh-novobudovakh","Ненадійне джерело інформації","Ненадійне джерело інформації"
"zn.ua","iPhone X - Пользователи iPhone X заявили о новой проблеме в работе со смартфоном - Новости IT и науки - zn.ua","http://zn.ua/TECHNOLOGIES/vladelcy-iphone-x-zayavili-o-novom-nedostatke-smartfona-285766_.html","Ненадійне джерело інформації","Ненадійне джерело інформації"
"pravda.com.ua","""Нафтогаз"" готовий піти на поділ ""Укрнафти"" - ЗМІ | Економічна правда","https://www.epravda.com.ua/news/2018/06/4/637431/","Ненадійне джерело інформації","Ненадійне джерело інформації"
"kp.ru","Путину передали ""письма солдату""","http://kp.ru/daily/26837.5/3878576/","Недостовірна новина;Маніпуляції з емоціями","Недостовірна новина"
"interfax.com.ua","Vodafone запустил пять новых тарифов для контрактных абонентов","http://interfax.com.ua/news/telecom/509698.html","Недостовірна новина","Недостовірна новина"
"apostrophe.ua","​Два нардепа от партии ""Відродження"" безнаказанно сотрудничают с Россией - политолог - Апостроф","https://apostrophe.ua/news/business/2018-06-04/dva-nardepa-ot-partii-vdrodjennya-beznakazanno-sotrudnichayut-s-rossiey--politolog/132071","Ненадійне джерело інформації","Ненадійне джерело інформації"
"bagnet.org","Вместо учебников школьники получат ""Хрестоматию"", напечатанную по коррупционной схеме","http://www.bagnet.org/news/society/367034/vmesto-uchebnikov-shkolniki-poluchat-hrestomatiyu-napechatannuyu-po-korruptsionnoy-sheme","Ненадійне джерело інформації","Ненадійне джерело інформації"
