site,Достовірна новина,nonreliable,fake,title,total_fake,emotions,hate_speech,Points,Rank
hromadske.ua,100,0,0,0,0,0,0,100,1
news.liga.net,100,0,0,0,0,0,0,100,1
radiosvoboda.org,100,0,0,0,0,0,0,100,1
ukrinform.ua,100,0,0,0,0,0,0,100,1
nv.ua,99,1,0,0,0,0,0,98,2
pravda.com.ua,96,3,1,0,0,0,0,91,3
rbc.ua,96,4,0,1,0,0,0,90,4
zn.ua,96,2,2,0,0,0,0,90,4
gordonua.com,94,6,0,0,0,0,1,84,5
slovoidilo.ua,94,6,0,2,0,1,0,81,6
censor.net,94,6,0,2,0,0,1,80,7
unian.net,94,5,1,2,0,1,0,80,7
bykvu.com,97,3,0,1,0,2,2,78,8
glavcom.ua,95,5,0,3,0,2,0,78,8
unn.com.ua,94,4,2,1,0,2,0,78,8
interfax.com.ua,92,5,3,0,0,0,1,77,9
korrespondent.net,94,5,1,2,0,2,0,77,9
focus.ua,94,5,1,4,0,1,1,72,10
zaxid.net,90,4,6,2,0,0,0,70,11
112.ua,92,5,3,3,0,2,0,69,12
tsn.ua,90,6,4,1,0,2,0,68,13
hvylya.net,90,7,3,8,0,1,0,58,14
fakty.ictv.ua,88,7,5,3,1,1,0,57,15
zik.ua,87,11,2,7,0,0,1,54,16
expres.ua,89,9,2,6,0,4,0,52,17
segodnya.ua,88,6,6,6,0,1,1,51,18
comments.ua,82,10,8,5,0,2,0,40,19
24tv.ua,79,14,7,3,0,2,0,39,20
fakty.ua,83,13,4,6,0,3,1,37,21
vesti-ukr.com,85,14,1,5,0,10,1,25,22
ukranews.com,82,10,8,10,0,4,0,24,23
enovosty.com,78,19,3,10,0,3,1,20,24
ria.ru,85,11,4,4,1,11,1,16,25
gazeta.ua,76,17,7,7,0,3,2,14,26
newsone.ua,83,13,4,10,1,8,0,13,27
podrobnosti.ua,81,9,10,8,0,8,0,12,28
bagnet.org,83,12,5,12,1,8,0,8,29
facenews.ua,76,14,10,14,1,4,0,-3,30
obozrevatel.com,80,15,5,20,0,5,1,-4,31
hronika.info,72,19,9,7,0,8,2,-11,32
lenta.ru,81,18,1,18,0,10,3,-17,33
telegraf.com.ua,69,9,22,5,1,5,1,-18,34
kp.ua,76,15,9,10,1,11,1,-19,35
apostrophe.ua,66,30,4,11,0,6,2,-20,36
vesti.ru,73,9,18,8,2,11,2,-39,37
strana.ua,77,18,5,16,0,19,0,-40,38
politeka.net,67,22,11,29,1,11,4,-89,39
znaj.ua,54,21,25,30,1,12,1,-122,40
from-ua.com,59,22,19,30,4,23,3,-162,41
kp.ru,64,9,27,15,5,37,6,-189,42
