site,Достовірна новина,nonreliable,fake,title,total_fake,emotions,hate_speech,Points,Rank
hromadske.ua,100,0,0,0,0,0,0,100,0
news.liga.net,100,0,0,0,0,0,0,100,0
radiosvoboda.org,100,0,0,0,0,0,0,100,0
ukrinform.ua,100,0,0,0,0,0,0,100,0
nv.ua,99,1,0,0,0,0,0,99,1
zn.ua,99,1,0,0,0,0,0,99,1
pravda.com.ua,97,2,1,0,0,0,0,96,2
gordonua.com,98,2,0,0,0,0,1,94,3
rbc.ua,96,4,0,1,0,0,0,94,3
interfax.com.ua,96,1,3,0,0,0,1,89,4
slovoidilo.ua,96,4,0,2,0,1,0,89,4
zaxid.net,93,6,1,2,0,0,0,88,5
censor.net,95,5,0,2,0,0,1,87,6
tsn.ua,95,2,3,1,0,1,0,87,6
unian.net,96,3,1,3,0,1,0,86,7
glavcom.ua,97,3,0,3,0,2,0,85,8
korrespondent.net,96,3,1,2,0,2,0,85,8
unn.com.ua,96,2,2,2,0,2,0,84,9
bykvu.com,97,3,0,1,0,2,2,81,10
focus.ua,94,5,1,3,0,1,1,80,11
hvylya.net,95,3,2,7,0,1,0,76,12
112.ua,92,5,2,3,1,2,0,74,13
segodnya.ua,91,4,5,5,0,0,1,72,14
fakty.ictv.ua,88,7,4,3,1,1,0,71,15
zik.ua,93,4,2,6,1,0,2,67,16
24tv.ua,82,11,7,2,0,2,0,65,17
expres.ua,90,7,3,6,0,4,0,63,18
comments.ua,85,8,6,4,1,2,0,61,19
fakty.ua,85,12,3,6,0,3,1,57,20
podrobnosti.ua,89,5,6,7,0,5,0,54,21
ukranews.com,86,9,5,8,0,4,0,53,22
enovosty.com,81,17,2,9,0,3,1,48,23
gazeta.ua,79,14,7,8,0,1,2,45,24
facenews.ua,86,10,3,13,2,2,0,42,25
vesti-ukr.com,89,10,1,6,0,11,1,39,26
ria.ru,87,10,3,4,1,11,1,34,27
bagnet.org,84,11,5,12,1,7,0,29,28
newsone.ua,86,11,2,10,2,8,1,27,29
obozrevatel.com,81,14,5,20,0,5,1,17,30
kp.ua,81,13,6,10,1,10,1,16,31
apostrophe.ua,68,28,4,13,0,6,2,12,32
hronika.info,74,17,9,8,0,10,2,11,33
telegraf.com.ua,68,9,23,5,1,5,1,11,33
lenta.ru,81,18,1,18,0,10,3,2,34
vesti.ru,74,9,17,7,2,11,2,-8,35
strana.ua,84,12,3,17,1,17,1,-12,36
politeka.net,69,21,10,30,1,11,4,-55,37
znaj.ua,55,21,23,32,2,12,1,-81,38
from-ua.com,62,17,17,28,4,21,3,-102,39
kp.ru,64,9,27,15,5,37,6,-153,40
